feature,gnn,n_seeds,test_acc_mean,test_acc_std,val_acc_mean
E,GCN,1,0.5,0.0,0.5267
P,GCN,1,0.49,0.0,0.5167
TA,GCN,1,0.5067,0.0,0.5433
TA_P_E,GCN,1,0.5467,0.0,0.56
ogb,GCN,1,0.43,0.0,0.46
E,SAGE,1,0.5333,0.0,0.5033
P,SAGE,1,0.48,0.0,0.4633
TA,SAGE,1,0.57,0.0,0.51
TA_P_E,SAGE,1,0.5733,0.0,0.5133
ogb,SAGE,1,0.4667,0.0,0.44
